iter	Passed	Remaining
677	265604	517890
678	266041	517585
679	266454	517235
680	266842	516835
681	267249	516473
682	267684	516165
683	268126	515869
684	268524	515488
685	268943	515148
686	269336	514757
687	269766	514437
688	270164	514057
689	270599	513746
690	271010	513390
691	271431	513052
692	271829	512670
693	272264	512360
694	272701	512051
695	273120	511708
696	273541	511368
697	273937	510983
698	274367	510660
699	274789	510323
700	275208	509979
701	275619	509620
702	276007	509219
703	276426	508875
704	276822	508490
705	277270	508198
706	277663	507805
707	278065	507430
708	278463	507046
709	278884	506705
710	279271	506301
711	279679	505937
712	280070	505540
713	280466	505154
714	280882	504802
715	281289	504434
716	281718	504106
717	282107	503706
718	282512	503335
719	282935	502995
720	283334	502613
721	283719	502207
722	284139	501861
723	284540	501482
724	284943	501108
725	285378	500787
726	285786	500421
727	286189	500045
728	286582	499651
729	286969	499248
730	287371	498870
731	287760	498470
732	288162	498092
733	288590	497760
734	289004	497402
735	289389	496994
736	289792	496618
737	290182	496219
738	290581	495836
739	290996	495480
740	291396	495098
741	291797	494719
742	292207	494353
743	292602	493964
744	292999	493577
745	293396	493189
746	293791	492798
747	294168	492377
748	294564	491990
749	294983	491639
750	295366	491227
751	295762	490840
752	296192	490506
753	296591	490122
754	296991	489741
755	297374	489330
756	297753	488913
757	298144	488515
758	298546	488136
759	298930	487728
760	299313	487319
761	299707	486925
762	300108	486545
763	300533	486204
764	300961	485865
765	301378	485509
766	301788	485143
767	302178	484745
768	302570	484348
769	302964	483955
770	303363	483572
771	303748	483164
772	304126	482747
773	304535	482378
774	304927	481982
775	305310	481572
776	305721	481206
777	306100	480790
778	306496	480400
779	306889	480006
780	307272	479596
781	307687	479237
782	308071	478829
783	308460	478427
784	308860	478044
785	309250	477646
786	309643	477251
787	310050	476880
788	310452	476499
789	310845	476104
790	311226	475692
791	311664	475366
792	312061	474978
793	312445	474570
794	312836	474173
795	313242	473798
796	313654	473432
797	314040	473028
798	314433	472634
799	314830	472246
800	315247	471887
801	315651	471508
802	316086	471177
803	316500	470814
804	316894	470420
805	317306	470054
806	317729	469704
807	318158	469362
808	318553	468970
809	318945	468574
810	319332	468170
811	319770	467842
812	320157	467437
813	320547	467038
814	320962	466675
815	321391	466332
816	321770	465917
817	322203	465580
818	322593	465179
819	322988	464788
820	323369	464375
821	323766	463986
822	324175	463614
823	324581	463237
824	324965	462829
825	325405	462501
826	325811	462124
827	326191	461710
828	326597	461333
829	326987	460934
830	327375	460531
831	327782	460155
832	328207	459805
833	328606	459419
834	329038	459078
835	329423	458671
836	329834	458299
837	330217	457891
838	330619	457508
839	331012	457112
840	331406	456719
841	331818	456348
842	332202	455940
843	332644	455613
844	333037	455216
845	333451	454850
846	333840	454449
847	334237	454058
848	334654	453695
849	335044	453295
850	335473	452948
851	335906	452606
852	336312	452228
853	336725	451858
854	337139	451490
855	337524	451083
856	337910	450678
857	338323	450309
858	338734	449937
859	339164	449590
860	339562	449200
861	339965	448817
862	340350	448410
863	340758	448034
864	341157	447645
865	341555	447256
866	341937	446845
867	342328	446446
868	342715	446043
869	343114	445654
870	343514	445266
871	343897	444857
872	344333	444517
873	344758	444162
874	345154	443770
875	345545	443370
876	345960	443003
877	346350	442602
878	346739	442201
879	347142	441817
880	347582	441481
881	347982	441092
882	348364	440683
883	348805	440347
884	349197	439949
885	349595	439559
886	350017	439199
887	350421	438815
888	350812	438417
889	351190	438001
890	351571	437590
891	351965	437194
892	352379	436824
893	352802	436465
894	353237	436120
895	353631	435724
896	354050	435359
897	354439	434958
898	354842	434573
899	355234	434176
900	355633	433785
901	356044	433411
902	356478	433064
903	356877	432674
904	357306	432321
905	357693	431917
906	358121	431562
907	358524	431177
908	358928	430793
909	359315	430388
910	359742	430032
911	360148	429651
912	360532	429242
913	360913	428831
914	361339	428474
915	361734	428078
916	362157	427717
917	362575	427349
918	362967	426950
919	363371	426566
920	363752	426155
921	364171	425788
922	364560	425386
923	364970	425009
924	365362	424610
925	365756	424214
926	366141	423807
927	366534	423410
928	366926	423011
929	367315	422609
930	367707	422212
931	368107	421822
932	368503	421429
933	368949	421092
934	369346	420699
935	369738	420301
936	370139	419912
937	370533	419516
938	370915	419106
939	371340	418745
940	371768	418387
941	372195	418028
942	372648	417698
943	373057	417319
944	373461	416933
945	373847	416527
946	374236	416125
947	374619	415716
948	375047	415358
949	375461	414983
950	375901	414637
951	376301	414247
952	376736	413896
953	377116	413483
954	377548	413128
955	377959	412750
956	378349	412349
957	378730	411938
958	379112	411528
959	379533	411161
960	379938	410776
961	380351	410399
962	380748	410006
963	381136	409603
964	381547	409224
965	381967	408855
966	382354	408451
967	382763	408070
968	383180	407698
969	383588	407315
970	383972	406908
971	384360	406504
972	384760	406114
973	385185	405749
974	385590	405364
975	385978	404960
976	386366	404557
977	386786	404187
978	387197	403808
979	387600	403420
980	388013	403043
981	388410	402650
982	388789	402237
983	389188	401845
984	389640	401507
985	390049	401126
986	390456	400742
987	390849	400343
988	391233	399935
989	391661	399574
990	392043	399164
991	392435	398765
992	392836	398375
993	393226	397973
994	393614	397570
995	393996	397161
996	394396	396769
997	394790	396373
998	395173	395964
999	395572	395572
1000	395972	395180
1001	396358	394776
1002	396766	394393
1003	397152	393988
1004	397536	393581
1005	397937	393190
1006	398333	392795
1007	398727	392398
1008	399112	391992
1009	399515	391604
1010	399896	391194
1011	400325	390831
1012	400755	390469
1013	401152	390074
1014	401568	389699
1015	402003	389341
1016	402403	388950
1017	402826	388580
1018	403215	388178
1019	403629	387801
1020	404043	387422
1021	404428	387016
1022	404830	386626
1023	405216	386222
1024	405616	385830
1025	406019	385441
1026	406433	385063
1027	406811	384650
1028	407212	384260
1029	407596	383853
1030	408014	383478
1031	408406	383078
1032	408826	382706
1033	409228	382316
1034	409633	381929
1035	410035	381538
1036	410424	381136
1037	410846	380764
1038	411241	380369
1039	411618	379955
1040	412025	379570
1041	412425	379178
1042	412852	378810
1043	413236	378404
1044	413616	377993
1045	414037	377621
1046	414460	377249
1047	414845	376843
1048	415265	376470
1049	415635	376051
1050	416024	375649
1051	416420	375253
1052	416827	374867
1053	417236	374483
1054	417626	374082
1055	418001	373667
1056	418382	373258
1057	418781	372865
1058	419170	372464
1059	419553	372056
1060	419955	371666
1061	420350	371269
1062	420743	370871
1063	421160	370494
1064	421553	370096
1065	421925	369679
1066	422309	369273
1067	422702	368875
1068	423075	368460
1069	423452	368047
1070	423826	367633
1071	424235	367248
1072	424623	366846
1073	425046	366474
1074	425436	366072
1075	425849	365692
1076	426280	365326
1077	426667	364923
1078	427046	364513
1079	427431	364108
1080	427830	363715
1081	428231	363324
1082	428632	362932
1083	429052	362556
1084	429473	362182
1085	429858	361778
1086	430241	361370
1087	430651	360987
1088	431036	360582
1089	431425	360180
1090	431814	359779
1091	432203	359378
1092	432624	359003
1093	433012	358601
1094	433413	358209
1095	433810	357814
1096	434223	357433
1097	434640	357054
1098	435026	356650
1099	435461	356286
1100	435845	355881
1101	436246	355489
1102	436633	355086
1103	437011	354675
1104	437392	354268
1105	437784	353869
1106	438175	353469
1107	438580	353081
1108	438997	352702
1109	439374	352291
1110	439755	351883
1111	440182	351512
1112	440586	351123
1113	440969	350716
1114	441364	350320
1115	441747	349914
1116	442140	349516
1117	442532	349117
1118	442913	348710
1119	443299	348307
1120	443684	347902
1121	444050	347483
1122	444430	347075
1123	444838	346689
1124	445264	346316
1125	445652	345914
1126	446040	345512
1127	446461	345136
1128	446856	344740
1129	447231	344328
1130	447629	343934
1131	448004	343522
1132	448418	343140
1133	448810	342742
1134	449188	342333
1135	449569	341925
1136	449986	341546
1137	450366	341138
1138	450768	340747
1139	451183	340366
1140	451585	339975
1141	451969	339571
1142	452379	339185
1143	452793	338803
1144	453199	338415
1145	453581	338008
1146	453988	337621
1147	454375	337219
1148	454754	336811
1149	455136	336405
1150	455547	336020
1151	455947	335628
1152	456347	335235
1153	456762	334853
1154	457151	334452
1155	457541	334053
1156	457925	333648
1157	458349	333272
1158	458744	332876
1159	459124	332469
1160	459507	332064
1161	459912	331675
1162	460326	331292
1163	460741	330910
1164	461151	330524
1165	461554	330134
1166	461997	329772
1167	462415	329392
1168	462815	328999
1169	463206	328599
1170	463633	328225
1171	464042	327839
1172	464437	327442
1173	464873	327074
1174	465302	326702
1175	465738	326334
1176	466138	325940
1177	466571	325569
1178	466980	325183
1179	467422	324818
1180	467840	324437
1181	468257	324056
1182	468636	323648
1183	469053	323266
1184	469442	322865
1185	469858	322483
1186	470261	322091
1187	470658	321695
1188	471050	321296
1189	471448	320902
1190	471858	320515
1191	472281	320137
1192	472675	319739
1193	473076	319346
1194	473519	318981
1195	473938	318600
1196	474350	318215
1197	474785	317844
1198	475223	317476
1199	475620	317080
1200	476014	316682
1201	476433	316301
1202	476840	315911
1203	477273	315539
1204	477673	315145
1205	478062	314744
1206	478474	314358
1207	478858	313953
1208	479284	313576
1209	479719	313205
1210	480138	312823
1211	480535	312427
1212	480940	312036
1213	481326	311633
1214	481727	311239
1215	482133	310849
1216	482522	310447
1217	482919	310051
1218	483303	309647
1219	483694	309247
1220	484079	308843
1221	484469	308442
1222	484868	308047
1223	485263	307650
1224	485698	307278
1225	486128	306903
1226	486531	306510
1227	486923	306111
1228	487316	305712
1229	487713	305316
1230	488100	304914
1231	488482	304508
1232	488865	304103
1233	489245	303697
1234	489634	303295
1235	490016	302890
1236	490402	302487
1237	490819	302103
1238	491210	301704
1239	491643	301330
1240	492072	300953
1241	492471	300558
1242	492864	300159
1243	493255	299760
1244	493672	299375
1245	494110	299004
1246	494513	298611
1247	494925	298224
1248	495331	297833
1249	495726	297435
1250	496138	297048
1251	496543	296656
1252	496945	296263
1253	497350	295872
1254	497770	295489
1255	498205	295115
1256	498599	294716
1257	499005	294326
1258	499406	293931
1259	499833	293553
1260	500244	293164
1261	500663	292780
1262	501060	292384
1263	501442	291979
1264	501850	291588
1265	502258	291198
1266	502660	290804
1267	503062	290411
1268	503489	290032
1269	503885	289635
1270	504304	289250
1271	504725	288867
1272	505125	288473
1273	505523	288076
1274	505924	287682
1275	506356	287305
1276	506751	286907
1277	507162	286518
1278	507598	286144
1279	507992	285745
1280	508382	285345
1281	508802	284960
1282	509205	284567
1283	509644	284194
1284	510084	283821
1285	510470	283418
1286	510867	283021
1287	511261	282622
1288	511696	282246
1289	512127	281868
1290	512534	281476
1291	512935	281082
1292	513356	280698
1293	513762	280306
1294	514160	279909
1295	514552	279509
1296	514952	279114
1297	515350	278717
1298	515783	278340
1299	516197	277952
1300	516580	277547
1301	516981	277152
1302	517372	276752
1303	517774	276358
1304	518168	275959
1305	518586	275573
1306	518976	275172
1307	519367	274772
1308	519767	274376
1309	520155	273975
1310	520570	273587
1311	520960	273186
1312	521343	272782
1313	521768	272399
1314	522153	271996
1315	522542	271595
1316	522929	271192
1317	523348	270806
1318	523751	270412
1319	524174	270029
1320	524590	269641
1321	524986	269244
1322	525394	268852
1323	525828	268474
1324	526227	268077
1325	526656	267697
1326	527066	267306
1327	527487	266921
1328	527881	266522
1329	528279	266125
1330	528679	265729
1331	529073	265330
1332	529507	264952
1333	529903	264554
1334	530291	264152
1335	530674	263748
1336	531105	263367
1337	531513	262976
1338	531909	262578
1339	532291	262173
1340	532732	261797
1341	533167	261419
1342	533566	261022
1343	533966	260626
1344	534358	260226
1345	534749	259826
1346	535169	259439
1347	535562	259040
1348	535996	258660
1349	536385	258259
1350	536781	257861
1351	537194	257471
1352	537576	257067
1353	537974	256670
1354	538400	256286
1355	538796	255888
1356	539194	255491
1357	539615	255105
1358	540016	254709
1359	540411	254311
1360	540817	253918
1361	541220	253523
1362	541612	253123
1363	542024	252732
1364	542415	252332
1365	542852	251953
1366	543247	251555
1367	543681	251174
1368	544071	250773
1369	544474	250378
1370	544873	249982
1371	545254	249577
1372	545669	249187
1373	546066	248790
1374	546453	248387
1375	546861	247995
1376	547247	247592
1377	547652	247198
1378	548053	246802
1379	548447	246403
1380	548849	246008
1381	549258	245616
1382	549642	245212
1383	550050	244820
1384	550457	244427
1385	550874	244038
1386	551265	243637
1387	551650	243234
1388	552038	242833
1389	552428	242432
1390	552826	242035
1391	553265	241656
1392	553653	241254
1393	554042	240853
1394	554462	240465
1395	554858	240067
1396	555254	239669
1397	555650	239271
1398	556044	238872
1399	556435	238472
1400	556856	238084
1401	557246	237684
1402	557640	237285
1403	558058	236896
1404	558480	236509
1405	558893	236118
1406	559315	235731
1407	559704	235330
1408	560133	234945
1409	560550	234556
1410	560938	234155
1411	561337	233758
1412	561729	233358
1413	562154	232971
1414	562582	232587
1415	563016	232204
1416	563468	231829
1417	563867	231432
1418	564272	231037
1419	564670	230639
1420	565065	230241
1421	565467	229845
1422	565876	229452
1423	566301	229065
1424	566695	228666
1425	567089	228267
1426	567494	227872
1427	567882	227470
1428	568279	227073
1429	568672	226673
1430	569067	226274
1431	569454	225873
1432	569866	225481
1433	570301	225098
1434	570726	224711
1435	571124	224313
1436	571525	223916
1437	571959	223533
1438	572369	223140
1439	572770	222744
1440	573171	222347
1441	573561	221946
1442	573968	221552
1443	574373	221157
1444	574804	220772
1445	575196	220372
1446	575597	219975
1447	575986	219574
1448	576399	219183
1449	576814	218791
1450	577261	218412
1451	577665	218017
1452	578066	217620
1453	578481	217228
1454	578891	216835
1455	579294	216439
1456	579684	216039
1457	580080	215640
1458	580500	215250
1459	580892	214850
1460	581348	214474
1461	581747	214076
1462	582148	213679
1463	582553	213284
1464	582997	212903
1465	583439	212521
1466	583853	212129
1467	584266	211736
1468	584652	211334
1469	585080	210947
1470	585482	210550
1471	585875	210151
1472	586311	209766
1473	586763	209387
1474	587156	208987
1475	587582	208599
1476	588024	208217
1477	588422	207818
1478	588841	207428
1479	589235	207028
1480	589665	206641
1481	590095	206254
1482	590494	205856
1483	590886	205456
1484	591289	205060
1485	591687	204661
1486	592100	204268
1487	592544	203886
1488	592972	203498
1489	593400	203110
1490	593799	202712
1491	594205	202316
1492	594617	201923
1493	595030	201529
1494	595418	201128
1495	595809	200727
1496	596251	200343
1497	596640	199942
1498	597048	199547
1499	597445	199148
1500	597857	198754
1501	598252	198355
1502	598659	197959
1503	599070	197565
1504	599458	197164
1505	599886	196775
1506	600286	196377
1507	600677	195976
